# Scenario catalog. Pipe-separated (|):
#   proxy/scenario | description | paths | short | tier
# `paths` is a comma-separated list of URL paths exposed by the proxy on
# http://localhost:9090. Used by run-scenario.sh to build clickable links and
# by scripts/gen-readmes.sh to emit per-scenario README.md files.
# `short` is a one-line tag (≤60 chars) shown in run-scenario.sh's filter list.
# `tier` is `smoke` or `full`, and decides when CI runs the scenario:
#   smoke  every pull request and push to main, plus the weekly sweep
#   full   the weekly sweep and manual dispatch only
# The smoke tier is one scenario per distinct *mechanism* in a tree — rewrite
# direction, servlet mapping, load balancing, TLS, a transport that cannot
# upgrade — not a random sample. Running all 112 on every push cost ~125 jobs
# and five runner-hours per change; a `full` row is one whose breakage a
# `smoke` row in the same tree would almost certainly have caught too. When a
# scenario tests something no other row in its tree does, mark it `smoke`.
# Edit descriptions here; per-scenario READMEs are regenerated from this file.
apache-httpd/http/root-context | App at /, proxy at /. Baseline scenario using a single <Location /> block with upgrade=websocket. | / | App and proxy at /, baseline single <Location /> | smoke
haproxy/http/root-to-custom-context-sse | Proxy at /, app on /app context, PUSH over Server-Sent Events. The event stream and the client-to-server POSTs both ride the same prefix-adding rule, and the Location and Set-Cookie rewrites are unchanged from the WebSocket sibling. | / | SSE, proxy at /, app on /app context | full
haproxy/http/servlet-mapping-push-url | servlet-mapping with PUSH relocated to /VAADIN/push. The push URL resolves against the context, which here is the root, so the frontend already carries it and the config is the same file as servlet-mapping. | /ui/ | servlet-mapping with PUSH at /VAADIN/push | full
haproxy/http/servlet-mapping-sse | App at / with the Vaadin servlet on /ui/*, PUSH over Server-Sent Events. The Hilla rule still strips /ui, but Hilla push cannot work at all over SSE: FluxConnection is WebSocket-only with no fallback. | /ui/ | SSE, Vaadin servlet on /ui/*, Hilla at root | full
haproxy/http/custom-to-root-context-servlet-mapping | Proxy at /app/ui/, app at root / with VAADIN_URL_MAPPING=/ui/*. Two translations at once: /app/ui/HILLA and /app/ui/connect lose both segments because Hilla lives at the context root, while everything else loses only /app. The rules are ordered most specific first, so the general strip cannot fire on a path the Hilla rule already rewrote. | /app/ui/ | Proxy at /app/ui/, app at /, Vaadin on /ui/* | full
haproxy/http/root-to-custom-context-servlet-mapping | Proxy at /ui/, app on /app context with VAADIN_URL_MAPPING=/ui/*. The Hilla paths strip the servlet mapping and gain the context prefix; everything else only gains /app. Here the general rule runs first and the Hilla rule fixes up what it produced, because an ACL re-evaluated after a rewrite no longer sees the path that matched it. | /ui/ | Proxy at /ui/, app on /app, Vaadin on /ui/* | full
haproxy/http/load-balancer | Two backends balanced round-robin with sticky sessions via a ROUTEID cookie that HAProxy inserts itself, so the backends need no Tomcat jvmRoute. APP_NAME distinguishes which one served the page. | / | Two HTTP backends, sticky via ROUTEID cookie | smoke
haproxy/http/load-balancer-sse | Two backends with sticky sessions, PUSH over Server-Sent Events. Affinity has to hold both for the EventSource GET and for the separate client-to-server POSTs, and the frontend denies an upgrade with 501. | / | SSE across two backends, sticky ROUTEID cookie | full
haproxy/http/load-balancer-cookie-prefix | The same two backends made sticky the other way round: `cookie JSESSIONID prefix` puts HAProxy inside the session id, prepending its server id on the way out (JSESSIONID=v1~ABC123) and stripping it on the way in. Every other load-balancing scenario in the repo synthesizes a separate cookie to avoid exactly this, so nothing else covers a session id round-tripping through a rewriting proxy. | / | Proxy rewrites JSESSIONID in flight (prefix mode) | smoke
haproxy/http/multiple-root-context | Two independent app instances, each running at /, exposed under different prefixes (/ui1 and /ui2). Each backend strips its own prefix and rescopes Location and Set-Cookie on the way out, which is what keeps the two csrfToken cookies apart. The strip cannot live in the frontend: http-request rules run before use_backend, so it would erase the prefix the routing ACL matches on. | /ui1/,/ui2/ | Two apps under /ui1 and /ui2, prefixes stripped | smoke
haproxy/https/root-context | App at /, HAProxy terminates TLS on https://localhost:9443/ and forwards over plain HTTP to the backend. No X-Forwarded-Proto rule is needed: the shared base derives it from the bind's TLS state. `bind ssl crt` loads the key from <crt>.key beside the certificate, so the existing fixture is reused under a second name. The bind offers HTTP/2 through ALPN. | / | HAProxy TLS termination, no XFP rule needed | smoke
haproxy/https/root-context-sse | App at /, HAProxy terminates TLS on https://localhost:9443/ and forwards over plain HTTP, PUSH over Server-Sent Events. SERVER_FORWARD_HEADERS_STRATEGY=NATIVE so the push URL is built with the https scheme and the browser does not block the event stream as mixed content. | / | HAProxy TLS termination, SSE push to HTTP backend | full
